District ,ID,assam_dist,46 SDRF TENDER (lakhs),47 SDRF TENDER (lakhs) ,48 SDRF TENDER (lakhs) ,49 SDRF TENDER (lakhs) ,50 SDRF TENDER (lakhs) ,Total Allocation
BAJALI,33,2022Baja,0,0,4.08,0,0,4.08
BAKSA,35,2011Baks,0,0,4.405,0,0,4.405
BARPETA,32,2011Barp,239.135,0,8.5,0,0,247.635
BISWANATH,24,2019Bisw,0,0,0,0,0,0
BONGAIGAON,10,2011Bong,132.96,0,14,0,0,146.96
CACHAR,17,2011Cach,0,0,0,0,0,0
CHARAIDEO,5,2019Char,0,0,0,0,0,0
CHIRANG,13,2011Chir,175.45,0,0,0,0,175.45
DARRANG,26,2011Darr,75.59,0,0,0,18.65,94.24
DHEMAJI,7,2011Dhem,0,0,0,0,16.43,16.43
DHUBRI,1,2011Dhub,0,0,78.89,0,0,78.89
DIBRUGARH,27,2011Dibr,0,0,0,0,0,0
DIMA HASAO,20,2011Dima,0,0,0,0,0,0
GOALPARA,16,2011Goal,0,0,1.9,0,0,1.9
GOLAGHAT,6,2011Gola,0,0,0,0,0,0
HAILAKANDI,12,2011Hail,0,0,0,0,0,0
HOJAI,23,2019Hoja,0,0,0,0,0,0
JORHAT,22,2011Jorh,0,0,0,0,0,0
K.ANGLONG,8,2011Karb,0,0,0,1.2,0,1.2
KAMRUP,30,2011Kamr,35.6,0,1.38,270.71,0,307.69
KAMRUP METRO,29,2011KamrM,0,0,0,0,0,0
KARIMGANJ,28,2011Kari,0,0,0,0,0,0
KOKRAJHAR,9,2011Kokr,623.97,0,0,2.8,0,626.77
LAKHIMPUR,15,2011Lakh,0,0,59.16,0,0,59.16
MAJULI,18,2019Maju,0,0,0,0,0,0
MORIGAON,3,2011Mori,0,0,0,0,0,0
NAGAON,11,2011Naga,433.39,0,0,0,0,433.39
NALBARI,19,2011Nalb,0,0,3.694,0,0,3.694
SIVSAGAR,31,2011Siva,0,0,0,0,0,0
SONITPUR,25,2011Soni,0,0,0,0,0,0
SOUTH SALMARA MANCACHAR,2,2019Sout,0,0,0,0,0,0
TAMULPUR,34,2011Tamu,0,0,0,0,0,0
TINSUKIA,4,2011Tins,0,0,0,0,0,0
UDALGURI,21,2011Udal,0,0,0,1.6,0,1.6
WEST KARBI ANGLONG,14,2019West,0,0,0,0,0,0
