Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
"S.E. Jorhat Circle(Irrigation), Jorhat","O/o the S.E. Jorhat Circle(I), Jorhat.","2,000",Nil,Nil,Yes,04-Nov-2025 06:00 PM,26-Nov-2025 11:00 AM,04-Nov-2025 06:00 PM,25-Nov-2025 01:00 PM,NA ,NA ,10-Nov-2025 11:00 AM,25-Nov-2025 01:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,REOI,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,JC(I)/Tech/E-Tender/2025/92 Dated 04/11/2025,2025_ID_48416_1,Yes,Open Tender,EOI,Services,1.0,No,No,Online,No,No,No,0.0,No,fixed,,Nil,Nil,1.0,SBI Bank,1,General Certificate ,PAN ,Permanent Account Number ,,Proposal of Cost Estimate and Concept Note for Feasibility Study and Preparation Of Preliminary Project Report (PPR) For Mega Irrigation Project In Titabar Area Under Titabar LAC Jorhat District Assam,Proposal of Cost Estimate and Concept Note for Feasibility Study and Preparation Of Preliminary Project Report (PPR) For Mega Irrigation Project In Titabar Area Under Titabar LAC Jorhat District Assam,As per EoI ,NA ,"79,65,000",Consultancy,NA ,Empanelment,180.0,180.0,Titabor,785630.0,NA ,NA ,NA ,"O/o the S.E. Jorhat Circle(I), Jorhat.",No ,No,AOC,1.0,286413.0,GarudaUAV Soft Solutions Pvt Ltd,INR,0.0,Finance,As Enclosed.,Ratul Goswami,29-Nov-2025 02:43 PM,finance_76973.pdf,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,2025_ID_48416_1,JC(I)/Tech/E-Tender/2025/92 Dated 04/11/2025,Proposal of Cost Estimate and Concept Note for Feasibility Study and Preparation Of Preliminary Project Report (PPR) For Mega Irrigation Project In Titabar Area Under Titabar LAC Jorhat District Assam,"Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon,AE,Prasanta Dutta,AO,Kshirode Buragohain,JE.",Ratul Goswami,29-Nov-2025 02:49 PM,techsummary_76973.pdf (909.73 KB),03-Dec-2025,INR 0,119.0,Ratul Goswami,03-Dec-2025 12:54 PM,Tech.pdf (910.00 KB),LOA,1.0,286413.0,GarudaUAV Soft Solutions Pvt Ltd,25-Nov-2025 12:47 PM,Accepted-AOC,Accepted,03-Dec-2025 12:55 PM,"Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon, AE, Prasanta Dutta, AO, Kshirode Buragohain, JE.",Ratul Goswami,03-Dec-2025 12:41 PM,finsummary_76973.pdf (909.73 KB),AOC
,,,,,,,,,,,,,,,,.pdf,EOI,,,,,,,,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,AOC,2.0,285923.0,WATMOV ENGINEERING PRIVATE LIMITED,INR,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,287111.0,myriad infra solutions pvt ltd,25-Nov-2025 12:22 PM,Rejected-Technical,Bidder have not submitted requisite documents,29-Nov-2025 02:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285923.0,WATMOV ENGINEERING PRIVATE LIMITED,25-Nov-2025 12:00 PM,Accepted-AOC,Accepted,03-Dec-2025 12:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
