Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,SMD(I)/T-6/3383 DATED-12/12/2024,2024_ID_41136_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,12-Dec-2024 06:00 PM,03-Jan-2025 02:00 PM,13-Dec-2024 10:00 AM,02-Jan-2025 12:00 PM,NA ,NA ,13-Dec-2024 10:00 AM,02-Jan-2025 12:00 PM,04-Jan-2025 04:30 PM,"50,910",Yes,percentage,2.0%,Nil,Nil,1,General Certificate ,PAN ,Permanent Account Number ,,1.0,SBI Bank,"1,000",Nil,Nil,Yes,"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)","EXECUTIVE ENGINEER, Sonari Mahmora Division(I), Sonari",Installation of Solar Shallow Tube Well Scheme (3 Points) upto a depth of 45 Metre under Mahmora LAC in Charaideo District under SOPD-G for the year 2024- 25,"3 (Three) nos. of Solar shallow Tube well points have been proposed in the Scheme. Accordingly, each Tube well points of the scheme includes boring, installation of TW, installation of 3HP Pump Set, Construction of Control panel, supply of canvas pip",As per SBD ,NA ,"25,45,498",Civil Works - Others,STW ,Tender,180.0,90.0,"West Abhoipur, Lakuwa in Borali Pukhuri, Khaloigh",785688.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)",No ,No,AOC,09-Jan-2025,"INR 2,545,498",90.0,Anowar Hussain,17-Jan-2025 12:09 PM,LOA.pdf (451.00 KB),As per LOA,1.0,253351.0,Gourab Traders,INR,"2,545,498",1.0,251598.0,Bubul Gogoi,30-Dec-2024 08:51 PM,Rejected-Finance,Rate Quoted is higher than Tender Value,06-Jan-2025 01:07 PM,Finance,As Enclosed,Anowar Hussain,06-Jan-2025 12:04 PM,finance_66335.pdf,BOQ Comparative Chart,"Sameep Jyoti Saikia, Superintending Engineer",Internal,"Usha Konwar, Chinmoy Hazarika, Deepjyoti Adhikari, Poranjit Borgohain",Anowar Hussain,06-Jan-2025 01:07 PM,finsummary_66335.pdf (428.56 KB),Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,2024_ID_41136_1,SMD(I)/T-6/3383 DATED-12/12/2024,Installation of Solar Shallow Tube Well Scheme (3 Points) upto a depth of 45 Metre under Mahmora LAC in Charaideo District under SOPD-G for the year 2024- 25,Technical,AS ENCLOSED,Anowar Hussain,04-Jan-2025 04:21 PM,technical_66335.pdf,"Sameep Jyoti Saikia, Superintending Engineer",Internal,"Usha Konwar, Chinmoy Hazarika, Deepjyoti Adhikari, Poranjit Borgohain",Anowar Hussain,04-Jan-2025 04:27 PM,04-Jan-2025 04:30 PM,techsummary_66335.pdf (575.61 KB),AOC
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,253351.0,Gourab Traders,30-Dec-2024 07:29 PM,Accepted-AOC,Bid is accepted as per Quoted rate i.e inclusive of all Taxes,17-Jan-2025 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
