Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,SMD(I)/T-6/3809 Dated 28/08/2025,2025_ID_47082_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,SBD,29-Aug-2025 10:00 AM,19-Sep-2025 01:00 PM,29-Aug-2025 10:00 AM,19-Sep-2025 12:00 PM,NA ,NA ,29-Aug-2025 10:00 AM,19-Sep-2025 12:00 PM,20-Sep-2025 10:30 AM,"66,803",Yes,percentage,2.0%,Nil,Nil,1,General Certificate ,PAN ,Permanent Account Number ,,1.0,SBI Bank,"1,000",Nil,Nil,Yes,"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)","Executive Engineer, Sonari-Mahmora Division (I), Sonari",Installation of Solar Shallow Tube Well Scheme (5 Points) at Sonari LAC under Charaideo District under SOPD-G for the year 2025-26,Installation of Solar Shallow Tube Well Scheme (5 Points) at Sonari LAC under Charaideo District under SOPD-G for the year 2025-26,As per SBD ,NA ,"33,40,154",Civil Works - Others,SOLAR SHALLOW TUBE WELL ,Tender,180.0,180.0,SONARI,785689.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)",No ,No,AOC,25-Sep-2025,"INR 3,156,400",180.0,Anowar Hussain,25-Sep-2025 11:28 AM,LOA.pdf (745.00 KB),As per LOA enclosed,1.0,281568.0,RONGMON ENTERPRISE,INR,"3,156,400",1.0,281918.0,Gourab Traders,19-Sep-2025 11:49 AM,Rejected-Finance,Bid value is greater than the other bidder.,25-Sep-2025 11:24 AM,Finance,Minutes enclosed,Anowar Hussain,24-Sep-2025 01:34 PM,finance_75070.pdf,BOQ Comparative Chart,"Usha Konwar, icAEE(TC)",Internal,"Meeryleen Shyam, AE, Chinmoy Hazarika, AO, Poranjit Borgohain, JE",Anowar Hussain,25-Sep-2025 11:24 AM,finsummary_75070.pdf (280.58 KB),Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,2025_ID_47082_1,SMD(I)/T-6/3809 Dated 28/08/2025,Installation of Solar Shallow Tube Well Scheme (5 Points) at Sonari LAC under Charaideo District under SOPD-G for the year 2025-26,Technical,Minutes Enclosed,Anowar Hussain,19-Sep-2025 03:34 PM,technical_75070.pdf,"Usha Konwar, ic AEE(TC)",Internal,"Meeryleen Shyam, AE, Chinmoy Hazarika, AO, Poranjit Borgohain, JE",Anowar Hussain,19-Sep-2025 03:46 PM,20-Sep-2025 10:30 AM,techsummary_75070.pdf (332.23 KB),AOC
,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,281568.0,RONGMON ENTERPRISE,19-Sep-2025 11:42 AM,Accepted-AOC,lowest quoted rate accepted inclusive of all taxes,25-Sep-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
