Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage
Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,APL/CnP/Mktg/2022-23/034,2022_ICD_25491_1,Yes,Open Tender,Item Wise,Services,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Integrity Pact,11-May-2022 11:00 AM,24-Jun-2022 03:00 PM,11-May-2022 11:00 AM,23-Jun-2022 02:00 PM,NA ,NA ,11-May-2022 11:00 AM,23-Jun-2022 02:00 PM,27-Dec-2022 04:00 PM,"16,00,000",Yes,fixed,,Nil,Nil,1.0,Corrigendum-3,Date,,1.0,SBI Bank,"1,000",Nil,Nil,No,Dy General Manager (C and P),"APL Namrup, Dist Dibrugarh , PIN 786623","Hiring of services for Transportation of Methanol and Formalin from APL, Namrup and Raninagar to Various Zones across the Country","Hiring of services for Transportation of Methanol and Formalin from APL, Namrup and Raninagar to Various Zones across the Country for a period of Two years",Please refer Tender documents. ,NA ,"10,75,95,600",Shipping/ Transportation/ Vehicle,NA ,Tender,180.0,730.0,"Assam Petrochemicals Limited ,Namrup",786623.0,APL Namrup ,"APL Conference Room , APL Namrup, Dist Dibrugarh , PIN 786623  ",27-May-2022 10:00 AM ,Assam Petro-chemicals Namrup,No ,No,AOC,1,149632,BHOLANATH CARRIERS,15-Jun-2022 09:26 PM,Accepted-AOC,L1,20-Dec-2023 04:57 PM,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,2022_ICD_25491_1,APL/CnP/Mktg/2022-23/034,"Hiring of services for Transportation of Methanol and Formalin from APL, Namrup and Raninagar to Various Zones across the Country",Technical,Prima Facie the technical bid of all the bidders have been admitted for evaluation .,Manob Borthakur,27-Jun-2022 09:57 AM,,AOC
,,,,,,,,,,,,,,,,.pdf,Unpriced Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,150428,CJ DARCL LOGISTICS LIMITED,16-Jun-2022 10:46 AM,Rejected-Finance,L2 Bidder,20-Dec-2023 04:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,150342,GAURI DIRIAL,23-Jun-2022 10:40 AM,Rejected-Finance,L2 Bidder,20-Dec-2023 04:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,150523,HIRON NEOG,15-Jun-2022 11:43 PM,Rejected-Technical,Documents Not in order,27-Dec-2022 03:45 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,150642,Inter State Oil Carrier Limited/Sanjay Jain,17-Jun-2022 04:43 PM,Accepted-AOC,L1,20-Dec-2023 04:57 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,149618,ISHTIAQUE AHMED KHAN,06-Jun-2022 10:01 AM,Accepted-AOC,L1,20-Dec-2023 04:57 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,149532,M R SHAH LOGISTICS PVT LTD,16-Jun-2022 12:51 PM,Accepted-AOC,L1,20-Dec-2023 04:57 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,150799,Shree Balaji Bulk carrier,23-Jun-2022 01:34 PM,Accepted-AOC,L1,20-Dec-2023 04:57 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,150440,V H TRANSLINES,15-Jun-2022 11:14 AM,Rejected-Technical,Price bid submitted alongwith Technical Bid,27-Dec-2022 03:45 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,150160,VIVEK ROAD LINES PVT LTD,16-Jun-2022 12:18 PM,Accepted-AOC,L1,20-Dec-2023 04:57 PM,,,,,,,,,,AOC
