Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests (Upper Assam Zone)||Eastern Assam Circle, Jorhat||Golaghat Division",B/CAMPA/GLT.DIVN/2023/2025 dtd.02/05/2023,2023_PCCF_30681_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents,03-May-2023 05:00 PM,05-Jun-2023 01:00 PM,03-May-2023 05:00 PM,01-Jun-2023 05:00 PM,NA ,NA ,10-May-2023 10:00 AM,01-Jun-2023 05:00 PM,18-Jul-2023 04:30 PM,"99,642",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"1,000",Nil,Nil,No,"DFO, Golaghat","DFO Office, Jonakinagar, Golaghat","Construction of Range Office Building under CAMPA Scheme at Divisional Forest Office Complex, Jonakinagar Golaghat","Construction of Range Office Building under CAMPA Scheme at Divisional Forest Office Complex, Jonakinagar Golaghat",Please refer Tender documents ,NA ,"49,82,107",Civil Works,NA ,Tender,180.0,180.0,Golaghat,785621.0,NA ,NA ,NA ,"DFO Office, Jonakinagar, Golaghat",No ,No,AOC,1,186348,B.B. Enterprise,25-May-2023 10:40 PM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,"Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests (Upper Assam Zone)||Eastern Assam Circle, Jorhat||Golaghat Division",2023_PCCF_30681_1,B/CAMPA/GLT.DIVN/2023/2025 dtd.02/05/2023,"Construction of Range Office Building under CAMPA Scheme at Divisional Forest Office Complex, Jonakinagar Golaghat",AOC
,,,,,,,,,,,,,,,,.pdf,BID documents downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,186194,DIMBESWAR BORAH,31-May-2023 05:25 PM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,186472,LOHIT TALUKDAR,31-May-2023 11:29 AM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,186079,MANOJ THAKUR,30-May-2023 11:56 AM,Rejected-Finance,3rd,09-Oct-2023 05:57 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,186867,Md. Faruk Hussain Talukdar,31-May-2023 04:38 PM,Rejected-Finance,2nd,09-Oct-2023 05:57 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,186868,MD.SALIM AHMED,31-May-2023 07:43 PM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,186827,MOHAMMAD TAJNUR ISLAM,31-May-2023 10:27 AM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,186805,M/S MAHAABALA CONSTRUCTION PVT. LTD.,30-May-2023 03:56 PM,Accepted-AOC,Awarded,09-Oct-2023 06:21 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,186752,STANDARD CREATION,29-May-2023 08:24 PM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,186506,TOP CONSTRUCTION,31-May-2023 12:45 PM,Rejected-Technical,disqualified,18-Jul-2023 04:25 PM,,,,,AOC
