Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,BTRD/BKT/RSF-966/2023-24/2248,2023_PWD_34061_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,20-Nov-2023 11:00 AM,29-Nov-2023 11:00 AM,21-Nov-2023 11:00 AM,28-Nov-2023 02:00 PM,22-Nov-2023 11:00 AM ,28-Nov-2023 02:00 PM ,22-Nov-2023 11:00 AM,28-Nov-2023 02:00 PM,06-Dec-2023 02:00 PM,"76,600",Yes,fixed,,Nil,Nil,1,General Certificate ,PAN ,Permanent Account Number ,,1.0,SBI Bank,"1,000",Nil,Nil,Yes,"Executive Engineer, PWRD",Office of EE PWRD Bokakhat,"Road Safety Measures on Rural Roads under Bokakhat and Dergaon Territorial Road Division, Bokakhat","Road Safety Measures on Rural Roads under Bokakhat and Dergaon Territorial Road Division, Bokakhat",Please refer Tender documents. ,NA ,"38,28,000",Civil Works – Roads,NA ,Tender,90.0,45.0,BOKAKHAT,785612.0,Office of EE PWRD Bokakhat ,Office of EE PWRD Bokakhat ,20-Nov-2023 12:00 PM ,Office of EE PWRD Bokakhat,No ,No,AOC,01-Mar-2025,"INR 3,826,238",45.0,Chou Ken Gohain,01-Mar-2025 02:43 PM,formalwo.pdf (482.00 KB),1.0,212887.0,Bedanta Protim Hazarika,INR,"3,826,238",1.0,212887.0,Bedanta Protim Hazarika,28-Nov-2023 01:57 AM,Accepted-AOC,L1 Bidder,01-Mar-2025 02:43 PM,Finance,Financial bid opening summary,Chou Ken Gohain,06-Dec-2023 03:59 PM,finance_55145.pdf,BOQ Comparative Chart,Chouken Gohain,Internal,,Chou Ken Gohain,01-Mar-2025 02:28 PM,finsummary_55145.pdf (342.25 KB),Public Works Roads Department,2023_PWD_34061_1,BTRD/BKT/RSF-966/2023-24/2248,"Road Safety Measures on Rural Roads under Bokakhat and Dergaon Territorial Road Division, Bokakhat",Technical,Summary,Chou Ken Gohain,05-Dec-2023 12:30 PM,technical_55145.pdf,C.K.Gohain,Internal,,Chou Ken Gohain,05-Dec-2023 12:59 PM,06-Dec-2023 02:00 PM,techsummary_55145.pdf (636.97 KB),AOC
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,212889.0,MUNINDRA MOHAN GOGOI,28-Nov-2023 01:34 AM,Rejected-Finance,L2 Bidder,01-Mar-2025 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,211879.0,RISHA INFRASTRUCTURE,26-Nov-2023 04:05 PM,Rejected-Technical,Technically Non-Responsive,05-Dec-2023 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FoB,,,,,,,,,,,,,,,,4,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,P/L and Balance Sheet ,Year 4 ,Y4 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,P/L and Balance Sheet ,Year 5 ,Y5 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
