work_type,ASDMA,Animal Husbandry & Veterinary,Dhubri Civil Sub Division T. R. Division,Disaster Management Department,Education,Fire & Emergency Services,Fishery Department,Handloom & Textile Department,Home Department,Irrigation,PWD,PWD (Buildings),PWD (Roads),Power,Public Health Engineering,Revenue & DM,Soil Conservation,Water Resources
Buildings / Shelter,0,0,0,1,0,6,0,0,4,11,23,4,0,122,0,7,1,19
Capacity building / Training,0,1,0,0,0,0,0,0,7,0,40,0,0,0,0,14,2,12
Drainage / De-silting,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,0,19
Embankment / Flood protection,0,6,0,5,0,2,0,0,0,83,10,0,16,1,0,218,26,336
Equipment / Procurement,1,0,0,1,0,1,0,1,2,0,40,0,0,0,0,14,0,35
Health / Veterinary response,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Other / Unclassified,2,318,0,44,0,110,1,2,16,146,264,0,0,4,5,312,30,714
Relief / Gratuitous assistance,0,6,0,0,0,16,0,0,0,0,41,0,0,0,0,15,0,11
Restoration of damaged assets,1,4,0,2,3,69,0,1,0,14,82,0,14,625,0,234,30,390
Roads & Bridges,3,137,2,16,26,48,0,0,2,1,166,0,272,0,0,950,312,1778
Water supply / Sanitation,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
