object_id,Repair and Restoration_tenders_awarded_value
104.0,14860329.244119344.339297739.03690246.089398577.537140509.0410191576.06528311.05935000.194397833.764055691.616490812.09179610.08
116.0,3617907.19
122.0,22280287.083984166.641854453.13787644.456016319.815387604.779001378.7796788.07
134.0,17999816.99
139.0,23201821.7712958205.8616918821.22
145.0,2999368.0
150.0,709993.0166008.623703270.0138586.61039595.01501026.0
161.0,2494834.0591784.03927561.0
166.0,879431.0
169.0,0
185.0,8549936.1415299066.136299336.12
189.0,14785636.5437942350.1637975164.2514368133.929450136.114368115.0521975979.63
190.0,15272537.44
195.0,17603118.01
207.0,13499355.0
208.0,0
214.0,3155248.51
219.0,16990742.9516199049.4320158869.96
226.0,7796777.521684664.08980845.73
276.0,2545678.36
281.0,4496398.85229173.25618526.13309263.06228692.64229987.09761651.0204288.31759965.5
